Scientific name,Common name,Order,Family,Trophic level,Num. w plastic,Total num. sampled,FO of plastic,Mean num particles per indv,Habitat,Average depth found,Primary foraging behavior,Commercial status,Aquaculture status,Recreational status,IUCN status,Vulnerability score,Oceanographic province,Year of collection,Publication year,Reference,Quantified microplastic,Method type,Marine/estuarine,Equipment used,Capture purpose,Polymer confirmation,Blanks used,Clean lab procedures used
Sprattus sprattus,European sprat,Clupeiformes,Clupeidae,3,2,154,0.012987013,0.012987013,pelagic-neritic,80,Particulate feeder,highly commercial,N,N,LC,33,NECS,"October 2015, 2016",2018,Budimir et al. 2018,Y,3,marine,trawling,fish market,none,lab blank,yes
Mugil incilis,mullet,Mugiliformes,Mugilidae,2,10,46,0.217,0.260869565,demersal,,Scavenging,minor commercial,N,N,LC,20,CAMR,2018,2019,Calderon et al. 2019,Y,3,estuarine,fish market,fish market,FTIR,open-air lab control,yes
Caranx hippos,Crevalle jack,Perciformes,Carangidae,3.6,2,19,0.105,0.105263158,reef-associated,175.5,Benthic foraging,commercial,N,Y,LC,41,CAMR,2018,2019,Calderon et al. 2019,Y,3,estuarine,fish market,fish market,FTIR,open-air lab control,yes
Caquetaia kraussii,Yellow mojarra,Perciformes,Cichlidae,3.4,3,35,0.086,0.086,demersal,,Benthic foraging,minor commercial,N,N,Not assessed,28,CAMR,2018,2019,Calderon et al. 2019,Y,3,estuarine,fish market,fish market,FTIR,open-air lab control,yes
Eugerres plumieri,Striped mojarra,Perciformes,Gerreidae,2.2,2,40,0.05,0.05,demersal,,Benthic foraging,minor commercial,N,N,LC,34,CAMR,2018,2019,Calderon et al. 2019,Y,3,estuarine,fish market,fish market,FTIR,open-air lab control,yes
Aldrichetta forsteri,Yellow-eye mullet,Mugiliformes,Mugilidae,2.5,0,17,0,0,demersal,5,Benthic foraging,commercial,N,Y,LC,29,TASM,2010-2015,2016,Cannon et al. 2016,Y,2,marine,"fish market, bycatch","plastic study, fish market",FTIR,NA,yes
Arripis sp.,Australian salmon,Perciformes,Arripidae,4.4,0,9,0,0,benthopelagic,,Benthic foraging,,,,,,TASM,2010-2015,2016,Cannon et al. 2016,Y,2,marine,"fish market, bycatch","plastic study, fish market",FTIR,NA,yes
Conger verreauxi,Conger,Anguilliformes,Congridae,4.2,0,25,0,0,reef-associated,22.5,,commercial,N,N,LC,80,TASM,2010-2015,2016,Cannon et al. 2016,Y,2,marine,"fish market, bycatch","plastic study, fish market",FTIR,NA,yes
Dissostichus mawsoni,Antarctic toothfish,Perciformes,Nototheniidae,3.9,1,10,0.1,0.2,pelagic-oceanic,844,Active predation,minor commercial,N,N,Not assessed,81,TASM,2010-2015,2016,Cannon et al. 2016,Y,2,marine,"fish market, bycatch","plastic study, fish market",FTIR,NA,yes
Engraulis australis,Australian anchovy,Clupeiformes,Engraulidae,3,0,10,0,0,pelagic-neritic,50.5,Particulate feeder,minor commercial,N,N,LC,29,TASM,2010-2015,2016,Cannon et al. 2016,Y,2,marine,"fish market, bycatch","plastic study, fish market",FTIR,NA,yes
