,Scientific name,Common name,Order,Family,Trophic level,Num. w plastic,Total num. sampled,FO of plastic,Mean num particles per indv,Habitat,Average depth found,Primary foraging behavior,Commercial status,Aquaculture status,Recreational status,IUCN status,Vulnerability score,Oceanographic province,Year of collection,Publication year,Reference,Quantified microplastic,Method type,Marine/estuarine,Equipment used,Capture purpose,Polymer confirmation,Blanks used,Clean lab procedures used,parsed_date,Risk_0_3,Risk_0_5,Risk_0_10,Risk_0pt5_5,Risk_0pt5_10,Risk_1_5,Risk_1_10,Risk_3_10,Risk_5_10
46,Neoniphon sammara,Sammara squirrelfish,Perciformes,Holocentridae,3.6,1.0,5.0,0.2,0.2,reef-associated,23.0,Benthic foraging,minor commercial,N,Y,LC,26.0,REDS,2014,2018,Baalkhuyur et al. 2018,Y,3,marine,various,"plastic study, commercial fishing",FTIR,lab blank,yes,"(Timestamp('2014-01-01 00:00:00'), Timestamp('2014-12-31 00:00:00'))",1,1,1,0,0,0,0,0,0
47,Parascolopsis eriomma,Rosy dwarm monocle bream,Perciformes,Nemipteridae,3.5,3.0,5.0,0.6,0.6,demersal,144.5,Benthic foraging,subsistence,N,N,Not assessed,30.0,REDS,2014,2018,Baalkhuyur et al. 2018,Y,3,marine,various,"plastic study, commercial fishing",FTIR,lab blank,yes,"(Timestamp('2014-01-01 00:00:00'), Timestamp('2014-12-31 00:00:00'))",1,1,1,1,1,0,0,0,0
48,Plectorhinchus gaterinus,Blackspotted rubberlip,Perciformes,Haemulidae,4.0,2.0,6.0,0.333333333,0.333333333,reef-associated,,Active predation,commercial,N,Y,Not assessed,41.0,REDS,2014,2018,Baalkhuyur et al. 2018,Y,3,marine,various,"plastic study, commercial fishing",FTIR,lab blank,yes,"(Timestamp('2014-01-01 00:00:00'), Timestamp('2014-12-31 00:00:00'))",1,1,1,0,0,0,0,0,0
49,Pristipomoides multidens,Goldbanded jobfish,Perciformes,Lutjanidae,3.8,2.0,10.0,0.2,0.2,demersal,200.0,Benthic foraging,commercial,N,N,LC,43.0,REDS,2014,2018,Baalkhuyur et al. 2018,Y,3,marine,various,"plastic study, commercial fishing",FTIR,lab blank,yes,"(Timestamp('2014-01-01 00:00:00'), Timestamp('2014-12-31 00:00:00'))",1,1,1,0,0,0,0,0,0
50,Pristipomoides typus,Sharptooth jobfish,Perciformes,Lutjanidae,4.2,0.0,5.0,0.0,0.0,demersal,80.0,Active predation,minor commercial,N,N,LC,39.0,REDS,2014,2018,Baalkhuyur et al. 2018,Y,3,marine,various,"plastic study, commercial fishing",FTIR,lab blank,yes,"(Timestamp('2014-01-01 00:00:00'), Timestamp('2014-12-31 00:00:00'))",0,0,0,0,0,0,0,0,0
51,Pygoplites diacanthus,Regal angelfish,Perciformes,Pomacanthidae,2.7,0.0,5.0,0.0,0.0,reef-associated,40.0,Benthic foraging,minor commercial,N,N,LC,46.0,REDS,2014,2018,Baalkhuyur et al. 2018,Y,3,marine,various,"plastic study, commercial fishing",FTIR,lab blank,yes,"(Timestamp('2014-01-01 00:00:00'), Timestamp('2014-12-31 00:00:00'))",0,0,0,0,0,0,0,0,0
52,Sargocentron spiniferum,Sabre squirrelfish,Beryciformes,Holocentridae,3.6,0.0,5.0,0.0,0.0,reef-associated,61.5,Benthic foraging,minor commercial,N,N,LC,40.0,REDS,2014,2018,Baalkhuyur et al. 2018,Y,3,marine,various,"plastic study, commercial fishing",FTIR,lab blank,yes,"(Timestamp('2014-01-01 00:00:00'), Timestamp('2014-12-31 00:00:00'))",0,0,0,0,0,0,0,0,0
53,Thalassoma rueppellii,Klunzinger's wrasse,Perciformes,Labridae,3.5,1.0,12.0,0.083333333,0.083333333,reef-associated,15.5,Benthic foraging,none,N,N,LC,29.0,REDS,2014,2018,Baalkhuyur et al. 2018,Y,3,marine,various,"plastic study, commercial fishing",FTIR,lab blank,yes,"(Timestamp('2014-01-01 00:00:00'), Timestamp('2014-12-31 00:00:00'))",1,1,1,0,0,0,0,0,0
54,Vinciguerria mabahiss,,Stomiiformes,Phosichthyidae,3.1,0.0,10.0,0.0,0.0,bathydemersal,250.0,,none,N,N,Not assessed,10.0,REDS,2014,2018,Baalkhuyur et al. 2018,Y,3,marine,various,"plastic study, commercial fishing",FTIR,lab blank,yes,"(Timestamp('2014-01-01 00:00:00'), Timestamp('2014-12-31 00:00:00'))",0,0,0,0,0,0,0,0,0
55,Trachinotus ovatus,Pompano,Perciformes,Carangidae,3.7,28.0,115.0,0.243478261,0.260869565,pelagic-neritic,125.0,Benthic foraging,minor commercial,Y,Y,LC,41.0,MEDI,2012,2016,Battaglia et al. 2016,Y,2,marine,trolling lines,plastic study,none,not described,not described,"(Timestamp('2012-01-01 00:00:00'), Timestamp('2012-12-31 00:00:00'))",1,1,1,0,0,0,0,0,0
